date-time,par
Wed May 3 12:41:46 2023,216.937
Wed May 3 13:11:46 2023,269.154
Wed May 3 13:41:46 2023,308.657
Wed May 3 14:11:46 2023,347.114
Wed May 3 14:41:46 2023,299.278
Wed May 3 15:11:46 2023,274.711
Wed May 3 15:41:46 2023,208.738
Wed May 3 16:11:46 2023,157.276
Wed May 3 16:41:46 2023,112.737
Wed May 3 17:11:46 2023,86.0898
Wed May 3 17:41:46 2023,67.6515
Wed May 3 18:11:46 2023,52.3074
Wed May 3 18:41:46 2023,49.0873
Wed May 3 19:11:46 2023,121.343
Wed May 3 19:41:46 2023,18.8451
Wed May 3 20:11:46 2023,1.04643
Wed May 3 20:41:46 2023,0.00009
Wed May 3 21:11:46 2023,0.00009
Wed May 3 21:41:46 2023,0.00009
Wed May 3 22:11:46 2023,0.00009
Wed May 3 22:41:46 2023,0.00009
Wed May 3 23:11:46 2023,0.00009
Wed May 3 23:41:46 2023,0.00009
Thu May 4 00:11:46 2023,0.00009
Thu May 4 00:41:46 2023,0.00009
Thu May 4 01:11:46 2023,0.00009
Thu May 4 01:41:46 2023,0.00009
Thu May 4 02:11:46 2023,0.00009
Thu May 4 02:41:46 2023,0.00009
Thu May 4 03:11:46 2023,0.00009
Thu May 4 03:41:46 2023,0.00009
Thu May 4 04:11:46 2023,0.00009
Thu May 4 04:41:46 2023,0.00009
Thu May 4 05:11:46 2023,0.0000883333
Thu May 4 05:41:46 2023,0.00009
Thu May 4 06:11:46 2023,0.00194
Thu May 4 06:41:46 2023,4.62435
Thu May 4 07:11:46 2023,19.7442
Thu May 4 07:41:46 2023,44.872
Thu May 4 08:11:46 2023,73.2789
Thu May 4 08:41:46 2023,130.604
Thu May 4 09:11:46 2023,168.779
Thu May 4 09:41:46 2023,198.288
Thu May 4 10:11:46 2023,197.15
Thu May 4 10:41:46 2023,179.969
Thu May 4 11:11:46 2023,265.289
Thu May 4 11:41:46 2023,318.505
Thu May 4 12:11:46 2023,252.231
Thu May 4 12:41:46 2023,218.783
Thu May 4 13:11:46 2023,278.609
Thu May 4 13:41:46 2023,290.565
Thu May 4 14:11:46 2023,341.902
Thu May 4 14:41:46 2023,243.166
Thu May 4 15:11:46 2023,257.86
Thu May 4 15:41:46 2023,218.632
Thu May 4 16:11:46 2023,177.133
Thu May 4 16:41:46 2023,130.51
Thu May 4 17:11:46 2023,99.1657
