DateTime,Indoor Temp Z4 (F)
Sun May 7 08:03:41 2023,79.9865
Sun May 7 09:03:41 2023,82.8376
Sun May 7 10:03:41 2023,82.7807
Sun May 7 11:03:41 2023,85.3203
Sun May 7 12:03:41 2023,85.7972
Sun May 7 13:03:41 2023,85.2774
Sun May 7 14:03:41 2023,85.9341
Sun May 7 15:03:41 2023,85.7367
Sun May 7 16:03:41 2023,85.6208
Sun May 7 17:03:41 2023,84.4259
Sun May 7 18:03:41 2023,84.7355
Sun May 7 19:03:41 2023,85.1684
Sun May 7 20:03:41 2023,80.1252
Sun May 7 21:03:41 2023,77.1795
Sun May 7 22:03:41 2023,75.7809
Sun May 7 23:03:41 2023,74.8526
Mon May 8 00:03:41 2023,74.0295
Mon May 8 01:03:41 2023,73.7497
Mon May 8 02:03:41 2023,73.5623
Mon May 8 03:03:41 2023,75.6068
Mon May 8 04:03:41 2023,74.8271
Mon May 8 05:03:41 2023,75.3123
Mon May 8 06:03:41 2023,74.6273
Mon May 8 07:03:41 2023,75.2937
Mon May 8 08:03:41 2023,74.7983
Mon May 8 09:03:41 2023,77.4931
Mon May 8 10:03:41 2023,84.1794
Mon May 8 11:03:41 2023,85.0869
Mon May 8 12:03:41 2023,85.6605
Mon May 8 13:03:41 2023,86.0279
Mon May 8 14:03:41 2023,85.3849
Mon May 8 15:03:41 2023,84.2816
Mon May 8 16:03:41 2023,85.8774
Mon May 8 17:03:41 2023,85.4267
Mon May 8 18:03:41 2023,84.5366
Mon May 8 19:03:41 2023,82.3543
Mon May 8 20:03:41 2023,79.6689
Mon May 8 21:03:41 2023,77.8025
Mon May 8 22:03:41 2023,76.7295
Mon May 8 23:03:41 2023,76.6749
Tue May 9 00:03:41 2023,75.96
Tue May 9 01:03:41 2023,75.0032
Tue May 9 02:03:41 2023,74.2962
Tue May 9 03:03:41 2023,73.5783
Tue May 9 04:03:41 2023,74.9191
Tue May 9 05:03:41 2023,74.6565
Tue May 9 06:03:41 2023,74.7258
