date-time,temperature_f
Wed May 3 13:06:16 2023,84.5937
Wed May 3 13:36:16 2023,84.2792
Wed May 3 14:06:16 2023,84.0658
Wed May 3 14:36:16 2023,85.5146
Wed May 3 15:06:16 2023,83.9519
Wed May 3 15:36:16 2023,84.212
Wed May 3 16:06:16 2023,83.3299
Wed May 3 16:36:16 2023,84.0322
Wed May 3 17:06:16 2023,83.4304
Wed May 3 17:36:16 2023,84.6445
Wed May 3 18:06:16 2023,83.1381
Wed May 3 18:36:16 2023,81.7473
Wed May 3 19:06:16 2023,80.0278
Wed May 3 19:36:16 2023,76.9467
Wed May 3 20:06:16 2023,75.0034
Wed May 3 20:36:16 2023,75.607
Wed May 3 21:06:16 2023,75.7751
Wed May 3 21:36:16 2023,75.5548
Wed May 3 22:06:16 2023,76.1649
Wed May 3 22:36:16 2023,76.5349
Wed May 3 23:06:16 2023,76.2754
Wed May 3 23:36:16 2023,75.8384
Thu May 4 00:06:16 2023,76.8779
Thu May 4 00:36:16 2023,76.058
Thu May 4 01:06:16 2023,76.0904
Thu May 4 01:36:16 2023,76.2584
Thu May 4 02:06:16 2023,76.3691
Thu May 4 02:36:16 2023,76.9196
Thu May 4 03:06:16 2023,76.1906
Thu May 4 03:36:16 2023,76.2352
Thu May 4 04:06:16 2023,76.6559
Thu May 4 04:36:16 2023,76.8206
Thu May 4 05:06:16 2023,77.0346
Thu May 4 05:36:16 2023,76.4093
Thu May 4 06:06:16 2023,76.9748
Thu May 4 06:36:16 2023,77.2719
Thu May 4 07:06:16 2023,76.1651
Thu May 4 07:36:16 2023,75.9885
Thu May 4 08:06:16 2023,74.7647
Thu May 4 08:36:16 2023,80.6328
Thu May 4 09:06:16 2023,82.7218
Thu May 4 09:36:16 2023,85.4744
Thu May 4 10:06:16 2023,83.976
Thu May 4 10:36:16 2023,84.3905
Thu May 4 11:06:16 2023,84.1513
Thu May 4 11:36:16 2023,83.3768
Thu May 4 12:06:16 2023,84.5319
Thu May 4 12:36:16 2023,84.5197
Thu May 4 13:06:16 2023,84.376
Thu May 4 13:36:16 2023,84.4967
Thu May 4 14:06:16 2023,84.5027
Thu May 4 14:36:16 2023,83.2193
Thu May 4 15:06:16 2023,84.5622
Thu May 4 15:36:16 2023,84.768
Thu May 4 16:06:16 2023,84.6981
Thu May 4 16:36:16 2023,84.7893
Thu May 4 17:06:16 2023,84.5423
Thu May 4 17:36:16 2023,86.0421
Thu May 4 18:06:16 2023,83.6484
Thu May 4 18:36:16 2023,82.7784
Thu May 4 19:06:16 2023,81.2206
Thu May 4 19:36:16 2023,78.5009
Thu May 4 20:06:16 2023,75.3349
Thu May 4 20:36:16 2023,74.9071
Thu May 4 21:06:16 2023,75.769
Thu May 4 21:36:16 2023,74.8006
Thu May 4 22:06:16 2023,75.8422
